M200m M200c
9.0 8.9322946933
9.15384615385 9.08534497918
9.30769230769 9.23836811792
9.46153846154 9.39136260413
9.61538461538 9.54432675728
9.76923076923 9.6972587652
9.92307692308 9.85015639695
10.0769230769 10.003018062
10.2307692308 10.1558429506
10.3846153846 10.3086284926
10.5384615385 10.4613719483
10.6923076923 10.6140704522
10.8461538462 10.7667210161
11.0 10.9193216676
11.1538461538 11.0718707792
11.3076923077 11.2243651829
11.4615384615 11.3768016407
11.6153846154 11.5291768841
11.7692307692 11.6814875773
11.9230769231 11.8337306034
12.0769230769 11.9859025427
12.2307692308 12.1379993709
12.3846153846 12.2900173875
12.5384615385 12.4419534117
12.6923076923 12.5938050958
12.8461538462 12.7455771291
13.0 12.897274106
13.1538461538 13.0488987432
13.3076923077 13.2004565234
13.4615384615 13.3519565213
13.6153846154 13.5034118283
13.7692307692 13.6548612052
13.9230769231 13.8063287225
14.0769230769 13.9578562902
14.2307692308 14.1094981386
14.3846153846 14.2613221819
14.5384615385 14.4134111625
14.6923076923 14.5658626585
14.8461538462 14.7187875901
15.0 14.8723065652
